fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-lingual,0.4375,-0.2581988897471611,0.28571428571428575,0.7046383518000238,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
2,sub-06,rh-lingual,0.4375,-0.2581988897471611,0.28571428571428575,0.7149030693987248,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
3,sub-06,rh-lingual,0.35000000000000003,-0.31622776601683794,0.25,0.722600213191018,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
4,sub-06,rh-lingual,0.5,-0.25,0.0,0.6753467150510211,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-06,rh-lingual,0.5,-0.1,0.4444444444444445,0.7000379553087817,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
6,sub-06,rh-lingual,0.5,0.0,0.3333333333333333,0.6793265272840713,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
7,sub-06,rh-lingual,0.6250000000000001,0.25,0.6,0.6900688833986673,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
8,sub-06,rh-lingual,0.875,0.5773502691896258,0.6666666666666666,0.6668252369934029,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,0
9,sub-06,rh-lingual,0.5,-0.1,0.4444444444444445,0.6989415889850763,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
10,sub-06,rh-lingual,0.5,-0.25,0.0,0.6697515604554024,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
11,sub-06,rh-lingual,0.42857142857142855,-0.06900655593423542,0.5,0.7123078933835867,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
12,sub-06,rh-lingual,0.375,-0.16666666666666666,0.4,0.7208072865293645,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
13,sub-06,rh-lingual,0.41666666666666663,-0.16666666666666666,0.3333333333333333,0.6908735254915621,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
14,sub-06,rh-lingual,0.5,0.0,0.3333333333333333,0.7032360753233979,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
15,sub-06,rh-lingual,0.6,0.15811388300841897,0.5,0.691455211269395,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
16,sub-06,rh-lingual,0.75,0.25,0.5,0.667441469197089,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
17,sub-06,rh-lingual,0.375,-0.2581988897471611,0.28571428571428575,0.7074940000167118,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
18,sub-06,rh-lingual,0.5,-0.05976143046671968,0.28571428571428575,0.6981444853333115,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,1
19,sub-06,rh-lingual,0.35,-0.1,0.4444444444444445,0.7085815921380215,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
20,sub-06,rh-lingual,0.125,-0.5,0.0,0.709977304262563,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,2,2
21,sub-06,rh-lingual,0.125,-0.5773502691896258,0.0,0.7253922248358441,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,4,2
22,sub-06,rh-lingual,1.0,0.0,0.0,0.6617080492832992,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
23,sub-06,rh-lingual,0.5833333333333333,0.25,0.6,0.682212897604695,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
24,sub-06,rh-lingual,0.4,-0.1,0.4444444444444445,0.7123447725308795,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
25,sub-06,rh-lingual,0.625,0.0,0.4,0.669304655369261,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,2
26,sub-06,rh-lingual,0.30000000000000004,-0.05976143046671968,0.28571428571428575,0.7375503850593949,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,1
27,sub-06,rh-lingual,0.5,-0.31622776601683794,0.0,0.6807066796970282,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,1
28,sub-06,rh-lingual,1.0,0.0,0.0,0.6557022533349135,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
29,sub-06,rh-lingual,0.625,0.25,0.6,0.6945214221069957,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
30,sub-06,rh-lingual,0.5,0.09128709291752768,0.4,0.684181972162437,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
31,sub-06,rh-lingual,0.3571428571428571,-0.06900655593423542,0.5,0.7299246019137839,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
32,sub-06,rh-lingual,0.5833333333333334,0.09128709291752768,0.4,0.6808377592894592,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
33,sub-06,rh-lingual,0.5,-0.25,0.0,0.6692875292392683,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
34,sub-06,rh-lingual,0.625,0.25,0.5,0.6792657385184646,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
35,sub-06,rh-lingual,0.625,0.2581988897471611,0.5714285714285715,0.6823290762753262,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
36,sub-06,rh-lingual,0.75,0.25,0.5,0.6634744931870973,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
37,sub-06,rh-lingual,0.4375,0.0,0.3333333333333333,0.6984147698051227,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
38,sub-06,rh-lingual,0.6111111111111112,0.2828894749305018,0.6666666666666667,0.7062384065108436,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
