fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-ventrolateralPFC,0.25,-0.2581988897471611,0.28571428571428575,0.7033895434611539,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
2,sub-06,rh-ventrolateralPFC,0.3125,-0.2581988897471611,0.28571428571428575,0.7043419113817732,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
3,sub-06,rh-ventrolateralPFC,0.35,-0.1,0.4444444444444445,0.7097858477482003,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
4,sub-06,rh-ventrolateralPFC,0.75,-0.25,0.0,0.6623103295794591,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-06,rh-ventrolateralPFC,0.5,-0.05976143046671968,0.28571428571428575,0.7017611376630409,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,1
6,sub-06,rh-ventrolateralPFC,0.5,0.3779644730092272,0.4,0.6961360358642528,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,0
7,sub-06,rh-ventrolateralPFC,0.5,0.0890870806374748,0.4444444444444444,0.7064005465002298,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,1
8,sub-06,rh-ventrolateralPFC,0.4375,0.0,0.3333333333333333,0.6998221650099588,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
9,sub-06,rh-ventrolateralPFC,0.45,-0.05976143046671968,0.28571428571428575,0.7037255129231448,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,1
10,sub-06,rh-ventrolateralPFC,0.5,-0.25,0.0,0.6690676857258493,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
11,sub-06,rh-ventrolateralPFC,0.8214285714285714,0.6071428571428571,0.8571428571428571,0.7003600345292184,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,1,1
12,sub-06,rh-ventrolateralPFC,0.33333333333333337,-0.16666666666666666,0.4,0.7125677594911755,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
13,sub-06,rh-ventrolateralPFC,0.41666666666666663,-0.16666666666666666,0.3333333333333333,0.6916477859854812,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
14,sub-06,rh-ventrolateralPFC,0.75,0.2581988897471611,0.5714285714285715,0.684248925661638,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
15,sub-06,rh-ventrolateralPFC,0.5,0.15811388300841897,0.5,0.7073393351548138,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
16,sub-06,rh-ventrolateralPFC,0.75,0.25,0.5,0.6667936364839675,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
17,sub-06,rh-ventrolateralPFC,0.6875,0.2581988897471611,0.5714285714285715,0.6896146145446158,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
18,sub-06,rh-ventrolateralPFC,0.3,-0.31622776601683794,0.25,0.7117489882070189,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
19,sub-06,rh-ventrolateralPFC,0.55,0.35,0.6666666666666665,0.6957101941415369,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
20,sub-06,rh-ventrolateralPFC,0.75,0.25,0.5,0.6754679879768046,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
21,sub-06,rh-ventrolateralPFC,0.4375,0.0,0.3333333333333333,0.697334962306683,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
22,sub-06,rh-ventrolateralPFC,0.75,-0.25,0.0,0.6688957218643037,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
23,sub-06,rh-ventrolateralPFC,0.7083333333333334,0.408248290463863,0.7272727272727272,0.6990621404685126,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,1
24,sub-06,rh-ventrolateralPFC,0.8,0.35,0.6666666666666665,0.685507219386895,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
