fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,rh-lingual,0.6944444444444444,0.2828894749305018,0.6666666666666667,0.6986774643800481,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
2,sub-05,rh-lingual,0.7083333333333333,0.25,0.6,0.6129699628581101,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
3,sub-05,rh-lingual,0.875,0.6324555320336759,0.6666666666666666,0.5914489271075124,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
4,sub-05,rh-lingual,0.75,-0.25,0.0,0.6096226599886828,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-05,rh-lingual,0.5833333333333333,0.25,0.6,0.7112727340270488,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
6,sub-05,rh-lingual,0.625,0.125,0.5,0.7318132425511927,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,1
7,sub-05,rh-lingual,0.35000000000000003,-0.31622776601683794,0.25,0.7114176834258354,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
8,sub-05,rh-lingual,0.9166666666666666,0.7302967433402214,0.8,0.5342875382343466,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,0
9,sub-05,rh-lingual,0.7142857142857143,0.3105295017040594,0.6666666666666666,0.6480139639879736,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,3,1
10,sub-05,rh-lingual,0.75,0.25,0.6,0.6519711167769348,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
11,sub-05,rh-lingual,0.8333333333333333,0.4166666666666667,0.6666666666666666,0.6049564770359248,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,1
12,sub-05,rh-lingual,0.8333333333333334,0.4166666666666667,0.6666666666666666,0.5964206312020198,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,1
13,sub-05,rh-lingual,0.75,-0.25,0.0,0.5874814364727179,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
14,sub-05,rh-lingual,0.9,0.6324555320336759,0.7499999999999999,0.6236739435501139,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
15,sub-05,rh-lingual,0.65,0.15811388300841897,0.5,0.6507990838701851,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
16,sub-05,rh-lingual,0.45,-0.1,0.4444444444444445,0.6981260674387466,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
17,sub-05,rh-lingual,0.5625,0.0,0.5,0.6782679768225064,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,2,2
