fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-lingual,0.8333333333333333,0.5006939628599933,0.823529411764706,0.634702812581939,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,7,2,1
2,sub-05,lh-lingual,0.625,0.25,0.6,0.6712557309769193,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
3,sub-05,lh-lingual,1.0,0.6324555320336759,0.6666666666666666,0.4747827435044809,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
4,sub-05,lh-lingual,0.25,-0.4082482904638631,0.0,0.5890822521885842,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,2
5,sub-05,lh-lingual,0.875,0.6666666666666666,0.8,0.5949613373752378,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
6,sub-05,lh-lingual,0.8125,0.5976143046671968,0.7692307692307693,0.6189689820097969,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,3,0
7,sub-05,lh-lingual,0.75,0.35,0.6666666666666665,0.5966106569532431,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
8,sub-05,lh-lingual,1.0,0.7302967433402214,0.8,0.4630338287345851,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,0
9,sub-05,lh-lingual,0.8214285714285714,0.4485426135725303,0.7692307692307692,0.569964223984644,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,2,1
10,sub-05,lh-lingual,0.9166666666666666,0.6666666666666666,0.8,0.49760131098189725,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
11,sub-05,lh-lingual,0.9166666666666666,0.7302967433402214,0.8,0.5569644811978038,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,0
12,sub-05,lh-lingual,0.5,-0.16666666666666666,0.3333333333333333,0.6439126833021547,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
13,sub-05,lh-lingual,0.75,-0.25,0.0,0.5648115563827792,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
14,sub-05,lh-lingual,0.75,0.35,0.6666666666666665,0.6554090040460618,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
15,sub-05,lh-lingual,0.95,0.8,0.888888888888889,0.5449589941586505,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,1,0
16,sub-05,lh-lingual,0.95,0.8,0.888888888888889,0.5724513088012371,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,1,0
17,sub-05,lh-lingual,0.8125,0.5,0.75,0.597112121819585,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,1,1
18,sub-05,lh-lingual,0.875,0.6666666666666666,0.8,0.5354465175527903,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
19,sub-05,lh-lingual,0.6875,0.2581988897471611,0.5714285714285715,0.591283725549012,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
20,sub-05,lh-lingual,0.5,-0.16666666666666666,0.4,0.7385148813320099,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
21,sub-05,lh-lingual,0.875,0.6324555320336759,0.6666666666666666,0.5536440464195099,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
22,sub-05,lh-lingual,0.875,0.6324555320336759,0.6666666666666666,0.569623598021673,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
23,sub-05,lh-lingual,0.5833333333333333,-0.16666666666666666,0.3333333333333333,0.634823825670976,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
24,sub-05,lh-lingual,0.5625,0.0,0.3333333333333333,0.6948718189732208,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
25,sub-05,lh-lingual,0.7142857142857143,0.3105295017040594,0.6666666666666666,0.7035232063843049,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,3,1
26,sub-05,lh-lingual,1.0,0.0,0.0,0.5102441086919247,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
27,sub-05,lh-lingual,0.5,0.0,0.5454545454545454,0.7268455960463163,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,2
28,sub-05,lh-lingual,0.5833333333333333,0.09128709291752768,0.4,0.66160770538527,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
29,sub-05,lh-lingual,0.5,-0.16666666666666666,0.3333333333333333,0.7411398520460485,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
30,sub-05,lh-lingual,0.875,0.6324555320336759,0.6666666666666666,0.5366916926473707,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
31,sub-05,lh-lingual,0.875,0.5976143046671968,0.7692307692307693,0.5698810057441276,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,3,0
32,sub-05,lh-lingual,0.8409090909090909,0.6446583712203042,0.8421052631578948,0.6045069065603571,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,8,3,0
33,sub-05,lh-lingual,0.75,-0.25,0.0,0.572910322706927,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
34,sub-05,lh-lingual,0.7,0.35,0.6666666666666665,0.6628587538628611,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
35,sub-05,lh-lingual,0.6818181818181819,0.3424747597107866,0.7368421052631579,0.7311110570992653,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,7,4,1
36,sub-05,lh-lingual,0.6388888888888888,0.2828894749305018,0.6666666666666667,0.6744115136837152,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
37,sub-05,lh-lingual,0.6071428571428571,0.17857142857142858,0.5454545454545454,0.6641667375458806,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,1
38,sub-05,lh-lingual,0.25,-0.4082482904638631,0.0,0.6886160736469764,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,2
39,sub-05,lh-lingual,0.95,0.8,0.888888888888889,0.5150457050655325,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,1,0
40,sub-05,lh-lingual,0.5,-0.31622776601683794,0.0,0.6180166396329317,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,1
41,sub-05,lh-lingual,0.8055555555555556,0.38575837490522974,0.75,0.6371086925128279,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,3,1
42,sub-05,lh-lingual,0.6666666666666667,0.2828894749305018,0.6666666666666667,0.722477201526027,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
43,sub-05,lh-lingual,0.625,0.31622776601683794,0.7058823529411764,0.7112797649501506,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,4,1
44,sub-05,lh-lingual,0.8,0.35,0.6666666666666665,0.5690989031278328,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
45,sub-05,lh-lingual,0.5,-0.16666666666666666,0.3333333333333333,0.7044197792968406,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
46,sub-05,lh-lingual,0.90625,0.5976143046671968,0.7692307692307693,0.6061973200423592,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,3,0
47,sub-05,lh-lingual,0.8148148148148149,0.5773502691896257,0.8,0.6441120959312776,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,3,0
48,sub-05,lh-lingual,0.6111111111111112,0.15811388300841897,0.6,0.6712403028430115,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,1
49,sub-05,lh-lingual,1.0,0.6123724356957946,0.6666666666666666,0.4746554665702501,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,0
50,sub-05,lh-lingual,0.6666666666666667,-0.3333333333333333,0.0,0.6263520808962918,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,1
51,sub-05,lh-lingual,0.9444444444444445,0.6324555320336759,0.8,0.6063387110425428,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,0
52,sub-05,lh-lingual,0.875,0.6708203932499369,0.8571428571428571,0.6264377403955987,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,2,0
