fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-01,lh-lingual,0.7391304347826086,0.32784267326619065,0.7999999999999999,0.6507139412374371,None + Linear-SVM,conscious,glimpse,False,Image,True,3,16,7,1
2,sub-01,lh-lingual,0.703125,0.30151134457776363,0.7407407407407406,0.6539388140174205,None + Linear-SVM,conscious,glimpse,False,Image,True,3,10,6,1
3,sub-01,lh-lingual,0.7115384615384616,0.38122128787578263,0.7826086956521738,0.651290478999586,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,4,1
4,sub-01,lh-lingual,0.8157894736842105,0.5110997067272864,0.8888888888888888,0.6311433019349286,None + Linear-SVM,conscious,glimpse,False,Image,True,3,16,3,1
5,sub-01,lh-lingual,0.7023809523809523,0.40230863885375184,0.8421052631578947,0.6834025674131416,None + Linear-SVM,conscious,glimpse,False,Image,True,3,16,5,1
6,sub-01,lh-lingual,0.6818181818181819,0.32024493467004,0.7894736842105263,0.657365640938049,None + Linear-SVM,conscious,glimpse,False,Image,True,3,15,7,1
7,sub-01,lh-lingual,0.75,0.4985272427507908,0.8749999999999999,0.6660000020083461,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,3,1
8,sub-01,lh-lingual,0.7840909090909091,0.525486787309028,0.9047619047619048,0.6456817370330366,None + Linear-SVM,conscious,glimpse,False,Image,True,3,19,3,1
9,sub-01,lh-lingual,0.6710526315789473,0.3372266367167312,0.7878787878787878,0.6592565627511763,None + Linear-SVM,conscious,glimpse,False,Image,True,3,13,6,1
10,sub-01,lh-lingual,0.75,0.4193139346887673,0.8275862068965517,0.6486836868424806,None + Linear-SVM,conscious,glimpse,False,Image,True,3,12,4,1
11,sub-01,lh-lingual,0.7794117647058824,0.4287464628562721,0.8387096774193549,0.644328683873255,None + Linear-SVM,conscious,glimpse,False,Image,True,3,13,4,1
12,sub-01,lh-lingual,0.736111111111111,0.3786200927092679,0.8125000000000001,0.6486528040914924,None + Linear-SVM,conscious,glimpse,False,Image,True,3,13,5,1
13,sub-01,lh-lingual,0.75,0.46088240084927024,0.8333333333333333,0.6541169033413512,None + Linear-SVM,conscious,glimpse,False,Image,True,3,10,3,1
14,sub-01,lh-lingual,0.6354166666666667,0.23388213848187445,0.7179487179487181,0.6768078245254274,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,10,1
15,sub-01,lh-lingual,0.625,0.2091650066335189,0.6363636363636364,0.6688763201717195,None + Linear-SVM,conscious,glimpse,False,Image,True,3,7,7,1
16,sub-01,lh-lingual,0.6875,0.34641016151377546,0.8,0.6750573242363455,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,6,1
17,sub-01,lh-lingual,0.7222222222222223,0.43704152091682436,0.8484848484848485,0.6544120539419399,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,4,1
18,sub-01,lh-lingual,0.75,0.38122128787578263,0.7826086956521738,0.6581330371411763,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,4,1
19,sub-01,lh-lingual,0.8235294117647058,0.4985272427507908,0.8749999999999999,0.6255546427034124,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,3,1
20,sub-01,lh-lingual,0.71875,0.3347193406976015,0.8095238095238096,0.6560292466092986,None + Linear-SVM,conscious,glimpse,False,Image,True,3,17,7,1
21,sub-01,lh-lingual,0.625,0.26516504294495535,0.75,0.6854051426243366,None + Linear-SVM,conscious,glimpse,False,Image,True,3,15,9,1
22,sub-01,lh-lingual,0.75,0.3268602252303067,0.7741935483870968,0.6422337601107805,None + Linear-SVM,conscious,glimpse,False,Image,True,3,12,6,1
23,sub-01,lh-lingual,0.6944444444444444,0.2797154638927579,0.7333333333333334,0.6674018579537572,None + Linear-SVM,conscious,glimpse,False,Image,True,3,11,7,1
24,sub-01,lh-lingual,0.7083333333333334,0.4472135954999579,0.8181818181818182,0.6520734498666646,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,3,1
25,sub-01,lh-lingual,0.7613636363636364,0.46217116665408475,0.8780487804878049,0.6558064735344247,None + Linear-SVM,conscious,glimpse,False,Image,True,3,18,4,1
26,sub-01,lh-lingual,0.75,0.5110997067272864,0.8888888888888888,0.6489753074640617,None + Linear-SVM,conscious,glimpse,False,Image,True,3,16,3,1
27,sub-01,lh-lingual,0.78125,0.49099025303098287,0.8666666666666666,0.6289493856339403,None + Linear-SVM,conscious,glimpse,False,Image,True,3,13,3,1
28,sub-01,lh-lingual,0.7250000000000001,0.3952847075210474,0.8333333333333334,0.6536824872031134,None + Linear-SVM,conscious,glimpse,False,Image,True,3,15,5,1
29,sub-01,lh-lingual,0.6517857142857143,0.264542338634135,0.7659574468085106,0.6741114548265887,None + Linear-SVM,conscious,glimpse,False,Image,True,3,18,10,1
30,sub-01,lh-lingual,0.671875,0.25,0.6923076923076923,0.6667708767548425,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,7,1
31,sub-01,lh-lingual,0.7261904761904762,0.40230863885375184,0.8421052631578947,0.6408397434117683,None + Linear-SVM,conscious,glimpse,False,Image,True,3,16,5,1
32,sub-01,lh-lingual,0.6964285714285714,0.3959441875175622,0.8,0.6566495738336079,None + Linear-SVM,conscious,glimpse,False,Image,True,3,10,4,1
33,sub-01,lh-lingual,0.7,0.408491223118783,0.8148148148148148,0.6636380688380928,None + Linear-SVM,conscious,glimpse,False,Image,True,3,11,4,1
34,sub-01,lh-lingual,0.7894736842105263,0.3874398651698183,0.8235294117647058,0.6435234730087661,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,5,1
35,sub-01,lh-lingual,0.7083333333333333,0.2886751345948129,0.7000000000000001,0.6504682725051794,None + Linear-SVM,conscious,glimpse,False,Image,True,3,7,5,1
36,sub-01,lh-lingual,0.6911764705882353,0.3686299079697329,0.8000000000000002,0.6787939063684036,None + Linear-SVM,conscious,glimpse,False,Image,True,3,12,5,1
37,sub-01,lh-lingual,0.796875,0.49099025303098287,0.8666666666666666,0.65097250109304,None + Linear-SVM,conscious,glimpse,False,Image,True,3,13,3,1
38,sub-01,lh-lingual,0.7222222222222222,0.43704152091682436,0.8484848484848485,0.6601312681548351,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,4,1
39,sub-01,lh-lingual,0.7333333333333334,0.48238191061886604,0.8571428571428571,0.6611857355242333,None + Linear-SVM,conscious,glimpse,False,Image,True,3,12,3,1
40,sub-01,lh-lingual,0.8,0.5163977794943223,0.8947368421052632,0.6358888962365485,None + Linear-SVM,conscious,glimpse,False,Image,True,3,17,3,1
41,sub-01,lh-lingual,0.7631578947368421,0.3874398651698183,0.8235294117647058,0.6678386767571136,None + Linear-SVM,conscious,glimpse,False,Image,True,3,14,5,1
42,sub-01,lh-lingual,0.6973684210526315,0.3372266367167312,0.7878787878787878,0.6735578256819508,None + Linear-SVM,conscious,glimpse,False,Image,True,3,13,6,1
43,sub-01,lh-lingual,0.7115384615384616,0.3105172139687914,0.7272727272727274,0.6549646734391975,None + Linear-SVM,conscious,glimpse,False,Image,True,3,8,5,1
44,sub-01,lh-lingual,0.6818181818181819,0.32024493467004,0.7894736842105263,0.6652914546465504,None + Linear-SVM,conscious,glimpse,False,Image,True,3,15,7,1
45,sub-01,lh-lingual,0.671875,0.3572172541558802,0.7857142857142857,0.6604138931948923,None + Linear-SVM,conscious,glimpse,False,Image,True,3,11,5,1
46,sub-01,lh-lingual,0.75,0.4443938593811115,0.8571428571428572,0.6475987124877279,None + Linear-SVM,conscious,glimpse,False,Image,True,3,15,4,1
47,sub-01,lh-lingual,0.8295454545454546,0.6033815244679472,0.9302325581395349,0.6343536695042735,None + Linear-SVM,conscious,glimpse,False,Image,True,3,20,2,1
48,sub-01,lh-lingual,0.5304347826086956,-0.006819150516320993,0.5294117647058824,0.6740876633771072,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,14,2
49,sub-01,lh-lingual,0.5375,-0.021926450482675733,0.5,0.67381539836621,None + Linear-SVM,conscious,glimpse,False,Image,True,3,6,10,2
50,sub-01,lh-lingual,0.5076923076923077,-0.01413506985480439,0.5,0.6739159826653958,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,8,2
51,sub-01,lh-lingual,0.6210526315789473,0.10259783520851541,0.6451612903225806,0.6486362477263232,None + Linear-SVM,conscious,glimpse,False,Image,True,3,10,9,2
52,sub-01,lh-lingual,0.4476190476190476,-0.09759000729485331,0.4137931034482759,0.7094325863690399,None + Linear-SVM,conscious,glimpse,False,Image,True,3,6,15,2
53,sub-01,lh-lingual,0.5272727272727273,0.007186994682200862,0.5454545454545455,0.6773390762579005,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,13,2
54,sub-01,lh-lingual,0.47058823529411764,-0.040996003084539386,0.48,0.693261332732737,None + Linear-SVM,conscious,glimpse,False,Image,True,3,6,11,2
55,sub-01,lh-lingual,0.5181818181818182,-0.029250896965085225,0.5000000000000001,0.6714383700472847,None + Linear-SVM,conscious,glimpse,False,Image,True,3,8,14,2
56,sub-01,lh-lingual,0.5052631578947369,0.0173421993904824,0.5517241379310345,0.6792002620776613,None + Linear-SVM,conscious,glimpse,False,Image,True,3,8,11,2
57,sub-01,lh-lingual,0.525,-0.07905694150420949,0.43478260869565216,0.6710868481956193,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,11,2
58,sub-01,lh-lingual,0.5529411764705883,0.010027613959936446,0.5384615384615384,0.6676369706535401,None + Linear-SVM,conscious,glimpse,False,Image,True,3,7,10,2
59,sub-01,lh-lingual,0.5666666666666667,0.036980013081681945,0.5714285714285714,0.6687539175902857,None + Linear-SVM,conscious,glimpse,False,Image,True,3,8,10,2
60,sub-01,lh-lingual,0.5384615384615385,-0.01413506985480439,0.5,0.6741159873907082,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,8,2
61,sub-01,lh-lingual,0.425,-0.21758445525607323,0.26666666666666666,0.6989744472650282,None + Linear-SVM,conscious,glimpse,False,Image,True,3,4,20,2
62,sub-01,lh-lingual,0.5285714285714286,-0.03912303982179758,0.4761904761904762,0.6862045719670805,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,9,2
63,sub-01,lh-lingual,0.48000000000000004,-0.1336306209562122,0.37037037037037035,0.6933693671585212,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,15,2
64,sub-01,lh-lingual,0.5222222222222223,-0.10956262252231942,0.4,0.6752220703460491,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,13,2
65,sub-01,lh-lingual,0.47692307692307695,-0.08770580193070292,0.42105263157894735,0.6851877723087285,None + Linear-SVM,conscious,glimpse,False,Image,True,3,4,9,2
66,sub-01,lh-lingual,0.6352941176470588,0.10846522890932808,0.6428571428571428,0.6460759599649859,None + Linear-SVM,conscious,glimpse,False,Image,True,3,9,8,2
67,sub-01,lh-lingual,0.5083333333333333,-0.05298129428260176,0.47058823529411764,0.680893596530142,None + Linear-SVM,conscious,glimpse,False,Image,True,3,8,16,2
68,sub-01,lh-lingual,0.41666666666666663,-0.16919084232174364,0.3225806451612903,0.7052803366502473,None + Linear-SVM,conscious,glimpse,False,Image,True,3,5,19,2
69,sub-01,lh-lingual,0.5888888888888889,0.036980013081681945,0.5714285714285714,0.6604925492559974,None + Linear-SVM,conscious,glimpse,False,Image,True,3,8,10,2
