fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-03,rh-lingual,0.7,0.09128709291752768,0.4,0.6879735919203773,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,1,2
2,sub-03,rh-lingual,0.4857142857142857,-0.1690308509457033,0.4615384615384615,0.6930106116076503,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,4,3
3,sub-03,rh-lingual,0.36666666666666664,-0.26666666666666666,0.3636363636363636,0.7003144505423099,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,4,3
4,sub-03,rh-lingual,0.725,0.4147575310031266,0.7142857142857143,0.6698776776670802,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,3,1
5,sub-03,rh-lingual,0.6333333333333333,0.1,0.5454545454545454,0.6811334605299139,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
6,sub-03,rh-lingual,0.2666666666666666,-0.2581988897471611,0.28571428571428575,0.7121139942387403,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,3
7,sub-03,rh-lingual,0.84,0.408248290463863,0.6666666666666665,0.6691791860318314,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
8,sub-03,rh-lingual,0.55,0.18446619684315546,0.5,0.6894430827345647,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,1
9,sub-03,rh-lingual,0.19999999999999996,-0.6,0.0,0.7135167662803104,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,3,3
10,sub-03,rh-lingual,0.675,0.3,0.6153846153846154,0.6719927084423435,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,4,1
11,sub-03,rh-lingual,0.64,0.18898223650461363,0.6666666666666665,0.6708242669281286,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,6,4,2
12,sub-03,rh-lingual,0.2666666666666666,-0.4485426135725303,0.2,0.7158447415702746,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,3
13,sub-03,rh-lingual,0.3333333333333333,-0.1,0.5,0.7028403820449051,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,3,3
14,sub-03,rh-lingual,0.6,-0.31622776601683794,0.0,0.710129662941786,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,1,2
15,sub-03,rh-lingual,0.6,0.2,0.6,0.6863810393524783,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,2,2
16,sub-03,rh-lingual,0.48,0.0,0.4444444444444445,0.705243927479372,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
17,sub-03,rh-lingual,0.9,0.3,0.5,0.6918210935000645,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,1,1
18,sub-03,rh-lingual,0.48000000000000004,0.0,0.5,0.6925830430059575,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,2
19,sub-03,rh-lingual,0.44,0.0,0.4444444444444445,0.7019552119609727,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
20,sub-03,rh-lingual,0.2666666666666666,-0.6,0.0,0.7084091049943406,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,3,3
21,sub-03,rh-lingual,0.3,-0.35,0.25,0.7129162799584037,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,3
22,sub-03,rh-lingual,0.43999999999999995,0.0,0.4444444444444445,0.7005056167866939,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,2
23,sub-03,rh-lingual,0.3333333333333333,-0.26666666666666666,0.3636363636363636,0.7064236268988573,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,4,3
24,sub-03,rh-lingual,0.3714285714285714,-0.11952286093343936,0.36363636363636365,0.7027468435242882,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,2
25,sub-03,rh-lingual,0.7200000000000001,0.408248290463863,0.6666666666666665,0.6806423930523999,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
26,sub-03,rh-lingual,0.68,0.408248290463863,0.6666666666666665,0.6844272309113062,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
27,sub-03,rh-lingual,0.39999999999999997,-0.35,0.25,0.7167232306084307,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,3
28,sub-03,rh-lingual,0.6799999999999999,0.2182178902359924,0.5,0.6862445681194796,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,1
29,sub-03,rh-lingual,0.8,0.4666666666666667,0.7272727272727272,0.6680378299504816,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,2,1
30,sub-03,rh-lingual,0.375,-0.21957751641341997,0.42857142857142855,0.7019657023150547,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,5,3
31,sub-03,rh-lingual,0.5,-0.2581988897471611,0.0,0.7056978446829568,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,0,2,1
32,sub-03,rh-lingual,0.6,-0.06900655593423542,0.4,0.6853195477462506,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
33,sub-03,rh-lingual,0.4333333333333333,-0.06900655593423542,0.4,0.7032876713448075,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,2
34,sub-03,rh-lingual,0.6599999999999999,0.37796447300922725,0.7058823529411764,0.677387064189369,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,4,1
35,sub-03,rh-lingual,0.42,0.0,0.5,0.7087069649611567,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,2
36,sub-03,rh-lingual,0.47500000000000003,-0.025,0.4615384615384615,0.698978001109059,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,2
37,sub-03,rh-lingual,0.6199999999999999,0.09449111825230681,0.588235294117647,0.6734169897150009,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,5,2
38,sub-03,rh-lingual,0.3714285714285714,-0.3142857142857143,0.3333333333333333,0.6999153311180187,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,5,3
39,sub-03,rh-lingual,0.5142857142857142,0.02857142857142857,0.5,0.6915797708417117,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
40,sub-03,rh-lingual,0.4,-0.21957751641341997,0.42857142857142855,0.704164411953271,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,5,3
41,sub-03,rh-lingual,0.5,0.0,0.5,0.6834498311735759,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,2
42,sub-03,rh-lingual,0.4571428571428571,0.02857142857142857,0.5,0.6976834431761332,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
43,sub-03,rh-lingual,0.8666666666666667,0.4666666666666667,0.7272727272727272,0.6687680427892536,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,2,1
44,sub-03,rh-lingual,0.7777777777777777,0.4472135954999579,0.75,0.6670815560921268,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,3,1
45,sub-03,rh-lingual,0.7,0.31622776601683794,0.5714285714285715,0.6862195375013512,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,2,1
46,sub-03,rh-lingual,0.6,0.1,0.5454545454545454,0.680122423159043,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
47,sub-03,rh-lingual,0.55,-0.1,0.4444444444444445,0.6929121614712943,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,2,3
48,sub-03,rh-lingual,0.5333333333333333,-0.06666666666666667,0.3333333333333333,0.6993093573013722,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,2
49,sub-03,rh-lingual,0.7,0.09128709291752768,0.4,0.6858261847720205,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,1,2
50,sub-03,rh-lingual,0.5428571428571428,0.02857142857142857,0.5,0.6899798862838615,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,4,2
51,sub-03,rh-lingual,0.6,0.1,0.5454545454545454,0.6931648978266218,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
52,sub-03,rh-lingual,0.75,0.625,0.7692307692307693,0.6666298019346711,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,3,0
53,sub-03,rh-lingual,0.7333333333333334,0.1,0.5454545454545454,0.6730499938416604,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,3,2
54,sub-03,rh-lingual,0.26666666666666666,-0.2581988897471611,0.28571428571428575,0.7130636973113409,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,3
55,sub-03,rh-lingual,0.8,0.408248290463863,0.6666666666666665,0.6675994684541315,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,2,1
56,sub-03,rh-lingual,0.47500000000000003,0.18446619684315546,0.5,0.690370858837743,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,1
57,sub-03,rh-lingual,0.3333333333333333,-0.2581988897471611,0.28571428571428575,0.703173783746553,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,3
58,sub-03,rh-lingual,0.7250000000000001,0.21957751641341997,0.6666666666666666,0.6648809361268255,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,5,3,2
59,sub-03,rh-lingual,0.66,0.18898223650461363,0.6666666666666665,0.6666271833153772,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,6,4,2
60,sub-03,rh-lingual,0.2333333333333333,-0.4485426135725303,0.2,0.7190726062996207,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,3
61,sub-03,rh-lingual,0.33333333333333337,-0.5163977794943223,0.0,0.6985768762757171,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,6,2
62,sub-03,rh-lingual,0.4,-0.31622776601683794,0.0,0.7123001512774039,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,1,2
