fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_lingual,0.2571428571428572,-0.37142857142857144,0.20000000000000004,0.7163030133816473,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,4
2,01,rh_lingual,0.23809523809523808,-0.6172133998483676,0.0,0.7182742145217772,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,6,4
3,01,rh_lingual,0.3928571428571429,-0.3105295017040594,0.22222222222222224,0.7129385695898951,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,4
4,01,rh_lingual,0.1428571428571429,-0.5976143046671968,0.0,0.7627553284806183,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,2,5
5,01,rh_lingual,0.20408163265306126,-0.5773502691896257,0.15384615384615383,0.7502056991417556,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,6,5
6,01,rh_lingual,0.7142857142857142,0.047619047619047616,0.3333333333333333,0.6968969625458586,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
7,01,rh_lingual,0.2,-0.50709255283711,0.1818181818181818,0.7449053814871367,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,5
8,01,rh_lingual,0.4285714285714286,-0.3563483225498992,0.2222222222222222,0.7171092410389257,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,5
9,01,rh_lingual,0.1904761904761905,-0.6546536707079772,0.0,0.7421161413516987,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,3,5
10,01,rh_lingual,0.4,-0.37142857142857144,0.20000000000000004,0.7009211612067553,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,4
11,01,rh_lingual,0.33333333333333337,-0.4147575310031266,0.1818181818181818,0.7117654066638194,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,5,4
12,01,rh_lingual,0.5238095238095238,-0.21957751641341997,0.42857142857142855,0.6845068097637974,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,5
13,01,rh_lingual,0.2380952380952381,-0.4147575310031266,0.1818181818181818,0.7096871496334624,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,5,4
14,01,rh_lingual,0.1428571428571429,-0.4879500364742666,0.0,0.7512448063232811,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,5
15,01,rh_lingual,0.3392857142857143,-0.32732683535398854,0.28571428571428575,0.7023608044159463,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,6,4
